Study File ID;File Name;Creation Date;RT Range [min];Instrument Name;Software Revision;Alignment Score;Sample Type;Polarity;Replicates;Type;Type 2;Max. Mass [Da]
F023;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_23.raw;24.03.2022 23:48;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.97;Sample;POS;2;Type 1;Class 8;1050
F024;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_24.raw;25.03.2022 0:04;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.963;Sample;POS;3;Type 1;Class 7;1050
F025;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_25.raw;25.03.2022 0:19;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.772;Sample;POS;1;Type 0;Class 1;1050
F026;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_26.raw;25.03.2022 0:35;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.948;Sample;POS;2;Type 1;Class 9;1050
F027;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_27.raw;25.03.2022 0:50;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.977;Sample;POS;1;Type 0;Class 9;1050
F028;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_28.raw;25.03.2022 1:06;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.769;Sample;POS;1;Type 0;Class 0;1050
F029;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_29.raw;25.03.2022 1:21;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.993;Quality Control;POS;Support Samples;QC-IS;QC;1050
F030;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_30.raw;25.03.2022 1:36;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.959;Sample;POS;1;Type 1;Class 8;1050
F031;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_31.raw;25.03.2022 1:52;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.971;Sample;POS;3;Type 1;Class 2;1050
F032;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_32.raw;25.03.2022 2:07;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.949;Sample;POS;1;Type 1;Class 4;1050
F033;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_33.raw;25.03.2022 2:23;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.971;Sample;POS;1;Type 1;Class 7;1050
F034;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_34.raw;25.03.2022 2:38;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.965;Sample;POS;3;Type 1;Class 3;1050
F035;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_35.raw;25.03.2022 2:54;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.869;Sample;POS;2;Type 0;Class 3;1050
F036;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_36.raw;25.03.2022 3:09;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.993;Quality Control;POS;Support Samples;QC-IS;QC;1050
F037;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_37.raw;25.03.2022 3:25;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.943;Sample;POS;1;Type 1;Class 1;1050
F038;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_38.raw;25.03.2022 3:40;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.968;Sample;POS;3;Type 1;Class 8;1050
F039;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_39.raw;25.03.2022 3:56;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.974;Sample;POS;3;Type 1;Class 8;1050
F040;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_40.raw;25.03.2022 4:11;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.765;Sample;POS;2;Type 0;Class 0;1050
F041;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_41.raw;25.03.2022 4:27;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.97;Sample;POS;2;Type 1;Class 2;1050
F042;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_42.raw;25.03.2022 4:42;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.94;Sample;POS;3;Type 1;Class 1;1050
F043;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_43.raw;25.03.2022 4:57;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.995;Quality Control;POS;Support Samples;QC-IS;QC;1050
F044;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_44.raw;25.03.2022 5:13;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.979;Sample;POS;3;Type 1;Class 9;1050
F045;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_45.raw;25.03.2022 5:28;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.824;Sample;POS;2;Type 0;Class 6;1050
F046;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_46.raw;25.03.2022 5:44;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.971;Sample;POS;3;Type 1;Class 6;1050
F047;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_47.raw;25.03.2022 5:59;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.951;Sample;POS;3;Type 1;Class 4;1050
F048;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_48.raw;25.03.2022 6:15;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.823;Sample;POS;2;Type 0;Class 5;1050
F049;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_49.raw;25.03.2022 6:30;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.969;Sample;POS;2;Type 1;Class 7;1050
F050;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_50.raw;25.03.2022 6:46;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;;Quality Control;POS;Support Samples;QC-IS;QC;1050
F051;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_51.raw;25.03.2022 7:01;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.886;Sample;POS;1;Type 0;Class 6;1050
F052;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_52.raw;25.03.2022 7:17;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.967;Sample;POS;3;Type 1;Class 5;1050
F053;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_53.raw;25.03.2022 7:32;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.969;Sample;POS;2;Type 1;Class 3;1050
F054;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_54.raw;25.03.2022 7:48;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.839;Sample;POS;3;Type 0;Class 3;1050
F055;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_55.raw;25.03.2022 8:03;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.955;Sample;POS;1;Type 1;Class 10;1050
F056;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_56.raw;25.03.2022 8:18;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.965;Sample;POS;1;Type 1;Class 3;1050
F057;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_57.raw;25.03.2022 8:34;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.992;Quality Control;POS;Support Samples;QC-IS;QC;1050
F058;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_58.raw;25.03.2022 8:49;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.951;Sample;POS;3;Type 1;Class 10;1050
F059;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_59.raw;25.03.2022 9:05;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.859;Sample;POS;3;Type 0;Class 7;1050
F060;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_60.raw;25.03.2022 9:20;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.962;Sample;POS;1;Type 1;Class 7;1050
F061;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_61.raw;25.03.2022 9:36;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.957;Sample;POS;3;Type 0;Class 9;1050
F062;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_62.raw;25.03.2022 9:51;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.793;Sample;POS;3;Type 0;Class 1;1050
F063;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_63.raw;25.03.2022 10:07;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.968;Sample;POS;3;Type 1;Class 7;1050
F064;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_64.raw;25.03.2022 10:22;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.991;Quality Control;POS;Support Samples;QC-IS;QC;1050
F065;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_65.raw;25.03.2022 10:38;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.969;Sample;POS;2;Type 1;Class 6;1050
F066;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_66.raw;25.03.2022 10:53;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.95;Sample;POS;1;Type 1;Class 2;1050
F067;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_67.raw;25.03.2022 11:09;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.779;Sample;POS;3;Type 0;Class 0;1050
F068;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_68.raw;25.03.2022 11:24;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.936;Sample;POS;1;Type 1;Class 3;1050
F069;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_69.raw;25.03.2022 11:40;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.852;Sample;POS;2;Type 1;Class 8;1050
F070;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_70.raw;25.03.2022 11:55;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.818;Sample;POS;2;Type 1;Class 5;1050
F071;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_71.raw;25.03.2022 12:10;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.871;Quality Control;POS;Support Samples;QC-IS;QC;1050
F072;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_72.raw;25.03.2022 12:26;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.728;Sample;POS;2;Type 0;Class 7;1050
F073;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_73.raw;25.03.2022 12:41;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.839;Sample;POS;2;Type 1;Class 3;1050
F074;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_74.raw;25.03.2022 12:57;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.842;Sample;POS;3;Type 1;Class 2;1050
F075;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_75.raw;25.03.2022 13:12;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.86;Sample;POS;2;Type 0;Class 9;1050
F076;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_76.raw;25.03.2022 13:28;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.684;Sample;POS;3;Type 0;Class 5;1050
F077;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_77.raw;25.03.2022 13:43;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.849;Sample;POS;1;Type 1;Class 8;1050
F078;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_78.raw;25.03.2022 13:59;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.866;Quality Control;POS;Support Samples;QC-IS;QC;1050
F079;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_79.raw;25.03.2022 14:14;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.846;Sample;POS;1;Type 1;Class 5;1050
F080;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_80.raw;25.03.2022 14:30;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.836;Sample;POS;3;Type 1;Class 0;1050
F081;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_81.raw;25.03.2022 14:45;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.846;Sample;POS;1;Type 1;Class 6;1050
F082;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_82.raw;25.03.2022 15:01;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.738;Sample;POS;3;Type 0;Class 6;1050
F083;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_83.raw;25.03.2022 15:16;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.834;Sample;POS;2;Type 1;Class 10;1050
F084;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_84.raw;25.03.2022 15:31;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.848;Sample;POS;1;Type 1;Class 9;1050
F085;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_85.raw;25.03.2022 15:47;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.867;Quality Control;POS;Support Samples;QC-IS;QC;1050
F086;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_86.raw;25.03.2022 16:02;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.729;Sample;POS;1;Type 0;Class 6;1050
F087;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_87.raw;25.03.2022 16:18;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.733;Sample;POS;2;Type 0;Class 6;1050
F088;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_88.raw;25.03.2022 16:33;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.711;Sample;POS;3;Type 0;Class 6;1050
F089;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_89.raw;25.03.2022 16:49;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.853;Quality Control;POS;Support Samples;QC-IS;QC;1050
F090;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_90.raw;25.03.2022 17:04;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.855;Quality Control;POS;Support Samples;QC-IS;QC;1050
F091;D:\Projects_Orbitrap_Elite\User_name\Project_name\HILIC_POS\full_raw\sample_91.raw;25.03.2022 19:54;0.00 - 14.00;Orbitrap Elite;2.7.0 SP2;0.584;Blank;POS;Support Samples;Blank;Blank;1050
